SITO;SPECIE;Numero alberi;Nuova Piantumazione;Sostituzione alberatura esistente;Potatura e Manutenzione
Scuola Elementare San Giovanni Bosco;Cercis  (area ingresso);6;;;
Scuola Elementare San Giovanni Bosco;Carrubo (area ingresso);2;;;
Scuola Elementare San Giovanni Bosco;Pino                                                                               ;6;;;
Scuola Elementare San Giovanni Bosco;Fruttifere;8;;;
Scuola Elementare San Giovanni Bosco;Cedro;2;;;
Scuola Elementare San Giovanni Bosco;Palme (di Gerusalemme, Trachicarpus);6;;;
Scuola Elementare San Giovanni Bosco;Yucca ;3;;;
Scuola Elementare San Giovanni Bosco;Chamaerops;4;;;
Scuola Elementare San Giovanni Bosco;Cipresso;1;;;
Scuola Elementare San Giovanni Bosco;Acacia;1;;;
Scuola Elementare San Giovanni Bosco;Cycas;5;;;
Scuola Materna S.Tommaso;Pino;4;;;
Scuola Materna S.Tommaso;Cercis;1;;;
Scuola materna Gianni Rodari;Cedro;4;;;
Scuola materna Gianni Rodari;Ailanto,;1;;;
Scuola materna Gianni Rodari;Pino;9;;;
Scuola materna Gianni Rodari;Eucalipto;1;;;
Scuola materna Gianni Rodari;Ligustro;11;;;
Scuola materna Gianni Rodari;Pittosporo;3;;;
Scuola materna Gianni Rodari;Pittosporo;4;;;
Scuola Media Guglielmo Marconi;Cedro ;8;;;
Scuola Media Guglielmo Marconi;Thuya;1;;;
Scuola Media Guglielmo Marconi;ulivo;1;;;
Via Don Francesco Piscitelli (zona 167);Pino;8;;;
Via Don Francesco Piscitelli (zona 167);Cedro;6;;;
Via Papa Giovanni XXIII° da Pronto Soccorso a incrocio Vico 2° Via Bari (Aiuole);Tamerici;49;;;
Via Papa Giovanni XXIII° da Pronto Soccorso a incrocio Vico 2° Via Bari (Aiuole);Ulivi;4;;;
Via Ten. Piscitelli (da Ten. Piscitelli a Palazzine ARCA);Cedro;4;;;
Via Ten. Piscitelli (da Ten. Piscitelli a Palazzine ARCA);Pino;1;;;
Via Ten. Piscitelli (da Ten. Piscitelli a Palazzine ARCA);Cipresso;3;;;
Via Ten. Piscitelli (da Ten. Piscitelli a Palazzine ARCA);Magnolia;1;;;
Via Ten. Piscitelli (da Ten. Piscitelli a Palazzine ARCA);Palme;1;;;
Villa Comunale in Piazza Garibaldi;Leccio in alvaretto;74;;;
Villa Comunale in Piazza Garibaldi;Leccio in situ;93;;;
Villa Comunale in Piazza Garibaldi;Pino;38;;;
Villa Comunale in Piazza Garibaldi;Cipresso;22;;;
Villa Comunale in Piazza Garibaldi;Falso pepe;6;;;
Villa Comunale in Piazza Garibaldi;Cedro;7;;;
Villa Comunale in Piazza Garibaldi;Palma;1;;;
Verde Villa Comunale zona 167;Albizia ;11;;;
Verde Villa Comunale zona 167;Pino;24;;;
Verde Villa Comunale zona 167;Palme (varie specie);13;;;
Verde Villa Comunale zona 167;Cedro;4;;;
Verde Villa Comunale zona 167;Ibisco;1;;;
Verde Villa Comunale zona 167;P. pissardii;7;;;
Verde Villa Comunale zona 167;Acacia blu;4;;;
Verde Villa Comunale zona 167;Corbezzolo;20;;;
Verde Villa Comunale zona 167;Alloro;1;;;
Verde Villa Comunale zona 167;Ligustro;1;;;
Verde Villa Comunale zona 167;Leccio;8;;;
Verde Villa Comunale zona 167;Chamaerops;3;;;
Verde Villa Comunale zona 167;Pittosporo;1;;;
Piazza Stallone;Cedro ;12;;;
Piazza Stallone;Pino;6;;;
Piazza Stallone;Leccio;5;;;
Piazza Stallone;Cipresso;13;;;
Piazza Stallone;Palma;1;;;
Piazza Stallone;Ligustro;1;;;
Piazza Stallone;Yucca ;1;;;
Piazza Stallone;Thuya;6;;;
Piazza Stallone;fruttifera;1;;;
Villa Spada;Pino;24;;;
Villa Spada;Eucalipto;4;;;
Villa Spada;Palme;2;;;
Villa Spada;Cedro;6;;;
Villa Spada;Leccio;3;;;
Villa Spada;Ulivo;1;;;
Villa Spada;Cipresso;2;;;
Villa Spada;Tiglio;25;;;
Villa Spada;Robinia ;2;;;
Villa Spada;Olmo;2;;;
Villa Spada;Prunus;1;;;
Villa Spada;Oleandro;2;;;
Villa Spada;Ligustro;2;;;
Villa Spada;Cercis;1;;;
Villa Spada;Bouganvillea;1;;;
Villa Spada;Chamaerops;2;;;
Villa Spada;Vasconi con fioriture;4;;;
Villa Spada;Siepe Alloro;;;;
Verde/prato Via Crocifisso (Monumento caduti sul Mare);Cipresso;3;;;
Verde/prato Via Crocifisso ( Monumento caduti sul Mare );Yucca ;1;;;
Verde/prato Via Crocifisso (Monumento caduti sul Mare);arbusti;;;;
Alberature in viale Aldo Moro;Ibisco;12;;;
Rotatoria Via ten. Devenuto ang. II trav. XX Settembre;Carrubo;1;;;
Rotatoria Via Cappuccini ang. Via V. Veneto;arbusti;3;;;
Alberature e aree a verde in zona PEEP di nuovo impianto;Ulivi  ;47;;;
Piazzetta Cairoli;Palma nana;4;;;
Piazzetta Cairoli;Cipresso;2;;;
Piazzetta Cairoli;Tuia Occidentale;7;;;
Piazzetta Cairoli;Albizia;2;;;
Piazzetta Cairoli;Cedro atlantico;1;;;
Piazzetta Cairoli;Cedro Indiano;2;;;
Piazzetta Cairoli;Alianto;1;;;
Piazzetta Cairoli;Cipresso di Leyland ;1;;;
Piazzetta Cairoli;Leccio;4;;;
Piazzetta Cairoli;Prugno europeo;7;;;
Piazzetta Cairoli;Ginepro sabina;21;;;
Via Solferino;Platano;1;;;
Piazzale Leichardt;Leccio;11;;;
;;;;;
;;;;;
;;;;;
Via Framarino;Albero non identificato;4;;;
;;;;;
;;;;;
Piazza Risorgimento;Prunus;1;;;
Piazza Risorgimento;Tiglio;4;;;
Piazza Risorgimento;;;;;
Piazzetta Via Toselli (angolo via Napoli);Prunus;6;;;
Piazzetta Via Toselli (angolo via Napoli);Alberi non identificati;4;;;
Via Molfetta;Carrubo;5;;;"Potatura di alleggerimento di n. 5 Carrubi
con successivo sostegno in legno"
